name,ph_seq,ph_dur
buhuji_high_001,SP x iu sh uo zh en d e j ia d e sh ui g e s i0 w o w ei f eng d uo AP h an d uo d uo p i x ie b i h uo SP,0.136420 0.207510 0.211900 0.113190 0.201730 0.104470 0.269940 0.052250 0.213330 0.104470 0.290270 0.056560 0.207580 0.133480 0.216260 0.132060 0.195920 0.184310 0.219150 0.082690 0.568910 0.082720 0.217690 0.134960 0.278650 0.033380 0.253960 0.326530 0.130620 0.267020 0.053700 0.229300 0.072580 0.245230 0.139350 0.171230 0.165420 0.223510 0.072560 0.220590 0.158160 0.828690 1.166760
buhuji_high_002,SP AP t ong l ing y a er d eng SP ch u l e t ao t ao h uo AP x ia sh an p o AP b u r ong r ong q v z ai f u m o SP,0.355100 0.497960 0.186030 0.213340 0.058040 0.243800 0.074020 0.097330 0.134880 0.062400 0.388660 0.244900 0.142850 0.211890 0.060950 0.262680 0.081270 0.576130 0.091440 0.256870 0.139300 0.237850 0.264310 0.165430 0.208990 0.111730 0.233670 0.133500 0.239460 0.264220 0.118370 0.277550 0.039360 0.265580 0.049340 0.243820 0.152370 0.352670 0.108830 0.424310 0.148920 0.181420 0.098670 1.336610 1.590250
buhuji_low_001,SP x iu sh uo zh en d e j ia d e sh ei g e s i0 w o w ei f eng d uo AP h an d uo d uo p i x ie b i h uo SP,0.481810 0.210420 0.229310 0.114630 0.198840 0.111730 0.255430 0.050890 0.205980 0.101580 0.277200 0.061500 0.222950 0.133500 0.213340 0.124820 0.206060 0.155300 0.214770 0.113200 0.586320 0.072820 0.234840 0.126230 0.258430 0.066670 0.306210 0.256870 0.149480 0.262670 0.059240 0.244070 0.072580 0.208970 0.178490 0.133520 0.169790 0.223870 0.095420 0.193020 0.178230 0.461220 1.146760
buhuji_low_002,AP t ong l ing y E er d eng ch u l e t ao t ao h uo AP x ia sh an p o AP SP,0.542770 0.126240 0.216250 0.065290 0.277200 0.065340 0.051130 0.169420 0.078370 0.603730 0.155250 0.216260 0.058050 0.227850 0.145120 0.506490 0.126250 0.230760 0.146580 0.259770 0.235100 0.152370 0.188670 0.132060 0.220600 0.140750 0.238010 0.264320 1.522150
gudanbeibanqiu_001,y ong w o d e w an an p ei n i SP,0.132050 0.158200 0.085620 0.207530 0.052240 0.233660 0.072550 0.040650 0.451320 0.108850 0.219140 0.081730 0.556820 1.257960
gudanbeibanqiu_002,SP SP ch ir z ao c an AP SP,0.429930 0.104130 0.223510 0.169760 0.133550 0.454220 0.165170 0.413870 0.327630 1.350790
xiaoxingji_selected_001,AP n i x iang y v d ing n a y i g uo d e z ao c an SP,0.690790 0.120450 0.152390 0.161090 0.265570 0.071120 0.271380 0.068190 0.680650 0.014510 0.290250 0.059510 0.235090 0.095800 0.290240 0.046430 0.227850 0.100120 0.224960 0.158180 1.410620 1.266670
xiaoxingji_selected_002,AP d eng y i b ei b u j ia t ang d e k a f ei q v n uan SP,0.645810 0.072550 0.262660 0.039080 0.268610 0.088530 0.252510 0.087070 0.224940 0.088520 0.255430 0.089980 0.293150 0.052240 0.094340 0.087060 0.327990 0.148020 0.248180 0.142250 0.226360 0.068210 1.129710 1.524060
zhizihuakai_002,SP AP zh e sh ir g e j i j ie AP w o m en j iang l i k ai SP,0.620000 0.334920 0.104480 0.293160 0.175600 0.565980 0.095790 0.126260 0.108830 0.309130 0.092860 0.358480 0.243810 0.091340 0.110200 0.094500 0.402000 0.079830 0.383120 0.071390 0.292870 0.133520 0.782220 1.100230
zhizihuakai_004,SP AP n an sh e d e n i AP h ai x iu d e n v h ai AP SP,0.680000 0.232830 0.082730 0.251070 0.178470 0.397580 0.058120 0.352670 0.074920 0.656500 0.584850 0.126260 0.303320 0.153820 0.197390 0.050790 0.159630 0.046430 0.329170 0.080100 0.457150 0.266200 1.307570
